,,,,,,,,,,,Fantasy,Fantasy,Fantasy,Fantasy,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,Scoring,Scoring,Scoring,Scoring
Rk,Player,Pos,Age,Year,Lg,Tm,G,W,L,T,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
80,T.J. Jones\JoneT.00,WR,25,2017,NFL,DET,14,8,6,0,47.90,77.9,77.9,62.9,0,0,0,0,0,0,0,0,30,399,1,1,,,,
81,Donte Moncrief\MoncDo00,WR,24,2017,NFL,CLT,12,3,9,0,51.10,77.1,77.1,64.1,0,0,0,0,0,0,0,0,26,391,2,0,,,,
82,Bruce Ellington\ElliBr00,WR,26,2017,NFL,HTX,11,3,8,0,46.70,75.7,75.7,61.2,0,0,0,0,0,3,17,0,29,330,2,1,,,,
83,Odell Beckham\BeckOd00,WR,24,2017,NFL,NYG,4,0,4,0,49.00,74.0,74.0,61.5,0,0,0,0,0,1,8,0,25,302,3,0,,,,
84,Brandon Coleman\ColeBr00,WR,25,2017,NFL,NOR,16,11,5,0,50.40,73.4,75.4,61.9,0,0,0,0,0,0,0,0,23,364,3,2,,,,
85,Zay Jones\JoneZa00,WR,22,2017,NFL,BUF,15,9,6,0,43.60,70.6,70.6,57.1,0,0,0,0,0,0,0,0,27,316,2,0,,,,
86,John Brown\BrowJo02,WR,27,2017,NFL,CRD,10,5,5,0,48.90,69.9,69.9,59.4,0,0,0,0,0,1,10,0,21,299,3,0,,,,
87,Corey Davis\DaviCo03,WR,22,2017,NFL,OTI,11,6,5,0,35.50,69.5,70.5,52.5,0,0,0,0,0,0,0,0,34,375,0,1,,,,
88,Rashard Higgins\HiggRa00,WR,22,2017,NFL,CLE,15,0,15,0,41.60,68.6,69.6,55.1,0,0,0,0,0,1,4,0,27,312,2,1,,,,
89,Josh Bellamy\BellJo02,WR,28,2017,NFL,CHI,15,5,10,0,44.20,68.2,68.2,56.2,0,0,0,0,0,1,6,0,24,376,1,0,,,,
90,Dede Westbrook\WestDe00,WR,23,2017,NFL,JAX,7,4,3,0,39.90,66.9,66.9,53.4,0,0,0,0,0,0,0,0,27,339,1,1,,,,
91,Corey Coleman\ColeCo00,WR,23,2017,NFL,CLE,9,0,9,0,42.50,65.5,65.5,54.0,0,0,0,0,0,0,0,0,23,305,2,0,,,,
92,Dontrelle Inman\InmaDo00,WR,28,2017,NFL,TOT,12,3,9,0,40.30,65.3,65.3,52.8,0,0,0,0,0,0,0,0,25,343,1,0,,,,
93,Brice Butler\ButlBr00,WR,27,2017,NFL,DAL,13,7,6,0,49.70,64.7,64.7,57.2,0,0,0,0,0,0,0,0,15,317,3,0,,,,
94,Ricardo Louis\LouiRi00,WR,23,2017,NFL,CLE,16,0,16,0,35.70,62.7,62.7,49.2,0,0,0,0,0,0,0,0,27,357,0,0,,,,
95,Cody Latimer\LatiCo00,WR,24,2017,NFL,DEN,11,4,7,0,42.70,61.7,61.7,52.2,0,0,0,0,0,0,0,0,19,287,2,1,,,,
96,Tavarres King\KingTa00,WR,27,2017,NFL,NYG,8,2,6,0,43.00,60.3,60.3,51.3,0,0,0,0,0,2,3,0,18,240,3,0,,,,
97,Justin Hardy\HardJu00,WR,25,2017,NFL,ATL,16,10,6,0,40.10,60.1,60.1,50.1,0,0,0,0,0,0,0,0,20,221,3,1,,,,
98,Chris Moore\MoorCh00,WR,24,2017,NFL,RAV,13,7,6,0,41.90,59.9,65.9,56.9,0,0,0,0,0,2,-9,0,18,248,3,0,,,,
99,Chester Rogers\RogeCh02,WR,23,2017,NFL,CLT,11,2,9,0,35.20,58.2,61.2,46.7,0,0,0,0,0,3,8,0,23,284,1,0,,,,
100,Kenny Britt\BritKe00,WR,28,2017,NFL,TOT,12,3,9,0,37.60,57.6,57.6,47.6,0,0,0,0,0,0,0,0,20,256,2,0,,,,
