,,,,,,,,,,Misc,Misc,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,
Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,QBrec,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,College/Univ,
83,2017,3,69,Cooper Kupp\KuppCo00,WR,24,LAR,2017,2019,0,0,2,23,39,28,,0,2,0,0,0,6,29,0,196,2596,21,East. Washington,
84,2017,3,72,Taywan Taylor\TaylTa00,WR,22,TEN,2017,2019,0,0,0,6,32,10,,,,,,,8,43,0,53,697,2,Western Kentucky,College Stats
85,2017,3,79,ArDarius Stewart\StewAr00,WR,23,NYJ,2017,2017,0,0,0,1,15,2,,,,,,,7,27,0,6,82,0,Alabama,College Stats
86,2017,3,82,Carlos Henderson\HendCa01,WR,22,DEN,,,0,0,0,,,,,,,,,,,,,,,,Louisiana Tech,College Stats
87,2017,3,84,Chris Godwin\GodwCh00,WR,21,TAM,2017,2019,0,1,1,19,46,21,,,,,,,1,8,0,179,2700,17,Penn St.,College Stats
88,2017,3,86,Kareem Hunt\HuntKa00,RB,22,KAN,2017,2019,0,1,2,28,35,30,,0,0,0,0,0,496,2330,17,116,1118,11,Toledo,College Stats
89,2017,3,87,Davis Webb\WebbDa00,QB,22,NYG,,,0,0,0,,,,,,,,,,,,,,,,California,College Stats
90,2017,3,89,D'Onta Foreman\ForeDO00,RB,21,HOU,2017,2018,0,0,0,3,11,1,,,,,,,85,326,2,8,111,1,Texas,College Stats
91,2017,3,96,Kenny Golladay\GollKe00,WR,23,DET,2017,2019,0,1,2,20,42,34,,,,,,,2,17,0,163,2730,19,Northern Illinois,College Stats
92,2017,3,98,Chad Williams\WillCh05,WR,22,ARI,2017,2019,0,0,1,1,17,8,,,,,,,3,42,0,20,202,1,Grambling St.,
93,2017,3,100,Jonnu Smith\SmitJo01,TE,22,TEN,2017,2019,0,0,3,7,45,39,,,,,,,4,78,0,73,854,8,Florida International,College Stats
94,2017,3,104,C.J. Beathard\BeatC.00,QB,23,SFO,2017,2018,0,0,0,7,13,10,1-9-0,225,393,2682,12,13,45,205,4,,,,Iowa,College Stats
95,2017,3,105,James Conner\ConnJa00,RB,22,PIT,2017,2019,0,1,2,16,37,22,,,,,,,363,1581,16,89,748,4,Pittsburgh,College Stats
96,2017,3,106,Amara Darboh\DarbAm00,WR,23,SEA,2017,2017,0,0,0,1,16,0,,,,,,,,,,8,71,0,Michigan,College Stats
97,2016,1,1,Jared Goff\GoffJa00,QB,21,LAR,2016,2019,0,2,3,41,54,54,33-21-0,1166,1869,14219,87,42,112,215,6,,,,California,College Stats
98,2016,1,2,Carson Wentz\WentCa00,QB,23,PHI,2016,2019,0,1,4,42,56,56,32-24-0,1311,2055,14191,97,35,206,785,3,2,11,0,North Dakota St.,College Stats
99,2016,1,4,Ezekiel Elliott\ElliEz00,RB,21,DAL,2016,2019,1,3,4,49,56,56,,,,,,,1169,5405,40,189,1619,8,Ohio St.,College Stats
100,2016,1,15,Corey Coleman\ColeCo00,WR,22,CLE,2016,2018,0,0,2,6,27,19,,,,,,,3,15,0,61,789,5,Baylor,College Stats
101,2016,1,21,Will Fuller\FullWi01,WR,22,HOU,2016,2019,0,0,4,18,42,41,,,,,,,3,6,0,156,2231,16,Notre Dame,College Stats
102,2016,1,22,Josh Doctson\DoctJo00,WR,23,WAS,2016,2019,0,0,2,9,34,26,,,,,,,1,-14,0,81,1100,8,TCU,College Stats
103,2016,1,23,Laquon Treadwell\TreaLa00,WR,21,MIN,2016,2019,0,0,2,6,53,16,,,,,,,,,,65,701,2,Mississippi,College Stats
104,2016,1,26,Paxton Lynch\LyncPa00,QB,22,DEN,2016,2017,0,0,0,2,5,4,1-3-0,79,128,792,4,4,16,55,0,,,,Memphis,College Stats
105,2016,2,35,Hunter Henry\HenrHu00,TE,21,SDG,2016,2019,0,0,3,13,41,35,,,,,,,,,,136,1709,17,Arkansas,College Stats
106,2016,2,40,Sterling Shepard\ShepSt00,WR,23,NYG,2016,2019,0,0,4,21,53,52,,,,,,,16,140,0,247,2862,17,Oklahoma,College Stats
107,2016,2,45,Derrick Henry\HenrDe00,RB,22,TEN,2016,2019,0,1,2,27,62,31,,2,3,14,0,0,804,3833,38,57,578,3,Alabama,College Stats
108,2016,2,47,Michael Thomas\ThomMi05,WR,23,NOR,2016,2019,2,3,4,54,63,57,,,,,,,1,-9,0,470,5512,32,Ohio St.,College Stats
109,2016,2,51,Christian Hackenberg\HackCh01,QB,21,NYJ,,,0,0,0,,,,,,,,,,,,,,,,Penn St.,College Stats
110,2016,2,55,Tyler Boyd\BoydTy00,WR,21,CIN,2016,2019,0,0,2,22,56,32,,0,1,0,0,0,10,84,0,242,2902,15,Pittsburgh,College Stats
111,2016,3,73,Kenyan Drake\DrakKe00,RB,22,MIA,2016,2019,0,0,1,22,62,24,,,,,,,456,2175,17,144,1107,6,Alabama,College Stats
112,2016,3,81,Austin Hooper\HoopAu00,TE,21,ATL,2016,2019,0,2,1,19,59,28,,,,,,,,,,214,2244,16,Stanford,College Stats
113,2016,3,85,Braxton Miller\MillBr03,WR,23,HOU,2016,2017,0,0,1,2,21,9,,,,,,,4,1,0,34,261,2,Ohio St.,College Stats
114,2016,3,86,Leonte Carroo\CarrLe00,WR,22,MIA,2016,2018,0,0,0,2,37,2,,,,,,,1,14,0,12,192,2,Rutgers,College Stats
