,,,,,,,,,,,Fantasy,Fantasy,Fantasy,Fantasy,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,Scoring,Scoring,Scoring,Scoring
Rk,Player,Pos,Age,Year,Lg,Tm,G,W,L,T,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
65,Cory Harkey\HarkCo00,TE,24,2014,NFL,RAM,16,6,10,0,11.50,21.5,21.5,17.5,0,0,0,0,0,0,0,0,8,55,1,0,,,,
66,Joseph Fauria\FaurJo00,TE,24,2014,NFL,DET,7,4,3,0,15.40,21.4,21.4,18.4,0,0,0,0,0,0,0,0,6,74,1,0,,,,
67,James Casey\CaseJa00,TE,29,2014,,PHI,16,10,6,0,17.90,20.9,20.9,19.4,0,0,0,0,0,0,0,0,3,59,2,0,,,,
68,Derek Carrier\CarrDe00,TE,24,2014,,SFO,11,7,4,0,10.70,19.7,19.7,15.2,0,0,0,0,0,1,2,0,9,105,0,1,,,,
69,Virgil Green\GreeVi00,TE,26,2014,NFL,DEN,13,11,2,0,13.70,19.7,19.7,16.7,0,0,0,0,0,2,3,0,6,74,1,0,,,,
70,Chase Coffman\CoffCh00,TE,27,2014,,OTI,13,1,12,0,12.40,18.4,18.4,15.4,0,0,0,0,0,0,0,0,6,64,1,0,,,,
71,Chris Gragg\GragCh00,TE,24,2014,,BUF,10,6,4,0,10.80,17.8,17.8,14.3,0,0,0,0,0,0,0,0,7,48,1,0,,,,
72,Lee Smith\SmitLe00,TE,26,2014,,BUF,14,7,7,0,10.20,17.2,17.2,13.7,0,0,0,0,0,0,0,0,7,42,1,0,,,,
73,Brandon Pettigrew\PettBr00,TE,29,2014,NFL,DET,14,10,4,0,7.00,17.0,17.0,12.0,0,0,0,0,0,0,0,0,10,70,0,0,,,,
74,Adrien Robinson\RobiAd00,TE,25,2014,,NYG,16,6,10,0,11.00,16.0,16.0,13.5,0,0,0,0,0,0,0,0,5,50,1,0,,,,
75,Matt Spaeth\SpaeMa00,TE,30,2014,,PIT,15,10,5,0,12.60,15.6,15.6,14.1,0,0,0,0,0,0,0,0,3,46,1,0,,,,
76,Brian Leonhardt\LeonBr01,TE,24,2014,NFL,RAI,12,1,11,0,9.50,15.5,15.5,12.5,0,0,0,0,0,0,0,0,6,35,1,0,,,,
77,Zach Miller\MillZa01,TE,28,2014,NFL,SEA,3,2,1,0,7.60,13.6,13.6,10.6,0,0,0,0,0,0,0,0,6,76,0,0,,,,
78,Zach Sudfeld\SudfZa00,TE,25,2014,NFL,NYJ,16,4,12,0,8.50,13.5,13.5,11.0,0,0,0,0,0,0,0,0,5,85,0,0,,,,
79,C.J. Fiedorowicz\FiedC.00,TE,22,2014,NFL,HTX,15,8,7,0,8.80,12.8,12.8,10.8,0,0,0,0,0,0,0,0,4,28,1,0,,,,
80,Darren Fells\FellDa01,TE,28,2014,NFL,CRD,10,6,4,0,7.10,12.1,12.1,9.6,0,0,0,0,0,0,0,0,5,71,0,0,,,,
81,Luke Stocker\StocLu00,TE,26,2014,NFL,TAM,13,1,12,0,4.10,11.1,11.1,7.6,0,0,0,0,0,0,0,0,7,41,0,0,,,,
82,Nic Jacobs\JacoNi00,TE,22,2014,NFL,JAX,13,3,10,0,7.60,9.6,9.6,8.6,0,0,0,0,0,0,0,0,2,16,1,0,,,,
83,James Hanna\HannJa00,TE,25,2014,,DAL,16,12,4,0,4.80,8.8,8.8,6.8,0,0,0,0,0,0,0,0,4,48,0,0,,,,
84,Brandon Williams\WillBr04,TE,26,2014,,CAR,14,6,7,1,4.40,8.4,8.4,6.4,0,0,0,0,0,0,0,0,4,44,0,0,,,,
85,Brandon Bostick\BostBr00,TE,25,2014,,GNB,13,10,3,0,6.30,8.3,8.3,7.3,0,0,0,0,0,0,0,0,2,3,1,0,,,,
86,Bear Pascoe\PascBe00,TE,28,2014,,ATL,16,6,10,0,6.30,8.3,8.3,7.3,0,0,0,0,0,0,0,0,2,3,1,0,,,,
87,Michael Hoomanawanui\HoomMi00,TE,26,2014,,NWE,16,12,4,0,4.40,7.4,7.4,5.9,0,0,0,0,0,0,0,0,3,44,0,0,,,,
88,Garrett Celek\CeleGa00,TE,26,2014,,SFO,3,0,3,0,5.30,7.3,7.3,6.3,0,0,0,0,0,0,0,0,2,53,0,0,,,,
89,Kevin Brock\BrocKe00,TE,28,2014,NFL,CIN,14,8,5,1,2.40,7.1,7.1,4.6,0,0,0,0,0,0,0,0,5,21,0,0,,,,
90,Michael Palmer\PalmMi00,TE,26,2014,,PIT,15,10,5,0,6.10,7.1,7.1,6.6,0,0,0,0,0,0,0,0,1,1,1,0,,,,
91,John Phillips\PhilJo00,TE,27,2014,,SDG,16,9,7,0,6.10,7.1,7.1,6.6,0,0,0,0,0,0,0,0,1,1,1,0,,,,
92,Troy Niklas\NiklTr00,TE,21,2014,,CRD,7,6,1,0,3.80,6.8,6.8,5.3,0,0,0,0,0,0,0,0,3,38,0,0,,,,
93,Tyler Eifert\EifeTy00,TE,23,2014,NFL,CIN,1,1,0,0,3.70,6.7,6.7,5.2,0,0,0,0,0,0,0,0,3,37,0,0,,,,
94,Phillip Supernaw\SupePh00,TE,24,2014,NFL,TOT,8,4,4,0,3.20,6.0,6.0,4.5,0,0,0,0,0,0,0,0,3,30,0,0,,,,
95,Gator Hoskins\HoskHa00,TE,22,2014,NFL,MIA,11,5,6,0,2.10,5.1,5.1,3.6,0,0,0,0,0,0,0,0,3,21,0,0,,,,
96,Demetrius Harris\HarrDe03,TE,23,2014,,KAN,8,5,3,0,2.00,5.0,5.0,3.5,0,0,0,0,0,0,0,0,3,20,0,0,,,,
97,Craig Stevens\StevCr00,TE,30,2014,,OTI,5,1,4,0,2.60,4.6,4.6,3.6,0,0,0,0,0,0,0,0,2,26,0,0,,,,
98,Taylor Thompson\ThomTa00,TE,24,2014,NFL,OTI,3,1,2,0,2.40,4.4,4.4,3.4,0,0,0,0,0,0,0,0,2,24,0,0,,,,
99,David Ausberry\AusbDa00,TE,26,2014,,RAI,6,0,6,0,1.40,3.4,3.4,2.4,0,0,0,0,0,0,0,0,2,14,0,0,,,,
100,Vance McDonald\McDoVa00,TE,24,2014,,SFO,8,5,3,0,1.00,3.0,4.0,2.0,0,0,0,0,0,0,0,0,2,30,0,1,,,,
